model_id,device,dtype,batch_size,iterations,profile_iterations,warmup,max_new_tokens,latency_ms_mean,latency_ms_p50,latency_ms_p95,images_per_second,cuda_peak_allocated_mb,cuda_peak_reserved_mb,trace_path,table_path
microsoft/trocr-base-printed,cuda,fp16,16,10,1,3,32,122.9549,122.8797,124.3767,130.1291,1540.8486,1792.0,runs/trocr-repeat-image-scale-64/traces/trocr_bs16.json.gz,runs/trocr-repeat-image-scale-64/tables/trocr_bs16.txt
microsoft/trocr-base-printed,cuda,fp16,24,10,1,3,32,176.6122,177.0185,179.3809,135.891,1660.3955,1958.0,runs/trocr-repeat-image-scale-64/traces/trocr_bs24.json.gz,runs/trocr-repeat-image-scale-64/tables/trocr_bs24.txt
microsoft/trocr-base-printed,cuda,fp16,32,10,1,3,32,221.9159,221.9549,222.8034,144.1988,1780.3643,2178.0,runs/trocr-repeat-image-scale-64/traces/trocr_bs32.json.gz,runs/trocr-repeat-image-scale-64/tables/trocr_bs32.txt
microsoft/trocr-base-printed,cuda,fp16,48,10,1,3,32,316.9442,316.693,318.5119,151.4462,2025.5986,2508.0,runs/trocr-repeat-image-scale-64/traces/trocr_bs48.json.gz,runs/trocr-repeat-image-scale-64/tables/trocr_bs48.txt
microsoft/trocr-base-printed,cuda,fp16,64,10,1,3,32,404.32,403.545,409.0358,158.2905,2267.1143,3162.0,runs/trocr-repeat-image-scale-64/traces/trocr_bs64.json.gz,runs/trocr-repeat-image-scale-64/tables/trocr_bs64.txt
microsoft/trocr-base-printed,cuda,fp16,80,10,1,3,32,494.3152,494.412,495.3438,161.8401,2513.7861,3066.0,runs/trocr-repeat-image-scale-192/traces/trocr_bs80.json.gz,runs/trocr-repeat-image-scale-192/tables/trocr_bs80.txt
microsoft/trocr-base-printed,cuda,fp16,96,10,1,3,32,585.0946,585.1425,586.7856,164.076,2753.8643,4208.0,runs/trocr-repeat-image-scale-192/traces/trocr_bs96.json.gz,runs/trocr-repeat-image-scale-192/tables/trocr_bs96.txt
microsoft/trocr-base-printed,cuda,fp16,128,10,1,3,32,773.8331,772.9846,779.7745,165.4103,3240.6143,5076.0,runs/trocr-repeat-image-scale-192/traces/trocr_bs128.json.gz,runs/trocr-repeat-image-scale-192/tables/trocr_bs128.txt
microsoft/trocr-base-printed,cuda,fp16,160,10,1,3,32,963.1415,962.9103,966.1666,166.123,3727.3643,6160.0,runs/trocr-repeat-image-scale-192/traces/trocr_bs160.json.gz,runs/trocr-repeat-image-scale-192/tables/trocr_bs160.txt
microsoft/trocr-base-printed,cuda,fp16,192,10,1,3,32,1149.3596,1149.3438,1150.4718,167.0495,4215.8643,7460.0,runs/trocr-repeat-image-scale-192/traces/trocr_bs192.json.gz,runs/trocr-repeat-image-scale-192/tables/trocr_bs192.txt
